timestamp,servicio,estado,accion_tomada,resultado,usuario,hostname
2025-10-20 14:13:13,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:13:13,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:13:14,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:13:14,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:13:15,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:37:01,ssh,inactive,reinicio,,root,ssoo
2025-10-20 14:37:12,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:38:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:39:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:40:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:41:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:42:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:43:00,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:43:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:44:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:47:11,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:47:11,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:47:11,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:48:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:49:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:50:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:51:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:52:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:53:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:54:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:55:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:56:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:57:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:58:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 14:59:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:00:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:01:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:02:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:03:19,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:04:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:05:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:06:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:07:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:08:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:09:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:10:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:11:01,ssh,inactive,reinicio,,root,ssoo
2025-10-20 15:12:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:13:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:14:01,ssh,active,nada,todo OK,root,ssoo
2025-10-20 15:15:01,ssh,active,nada,TODO OK,root,ssoo
2025-10-20 15:16:01,ssh,active,nada,TODO OK,root,ssoo
2025-10-20 15:17:01,ssh,active,nada,TODO OK,root,ssoo
